,TS代码,股票代码,股票名称,行业
0,000001.SZ,000001,平安银行,银行
1,000002.SZ,000002,万科A,全国地产
2,000004.SZ,000004,国华网安,软件服务
3,000005.SZ,000005,ST星源,环境保护
4,000006.SZ,000006,深振业A,区域地产
5,000007.SZ,000007,*ST全新,酒店餐饮
6,000008.SZ,000008,神州高铁,运输设备
7,000009.SZ,000009,中国宝安,综合类
8,000010.SZ,000010,美丽生态,建筑工程
9,000011.SZ,000011,深物业A,区域地产
10,000012.SZ,000012,南玻A,玻璃
11,000014.SZ,000014,沙河股份,全国地产
12,000016.SZ,000016,深康佳A,家用电器
13,000017.SZ,000017,*ST中华A,文教休闲
14,000019.SZ,000019,深粮控股,其他商业
15,000020.SZ,000020,深华发A,元器件
16,000021.SZ,000021,深科技,IT设备
17,000023.SZ,000023,深天地A,其他建材
18,000025.SZ,000025,特力A,汽车服务
19,000026.SZ,000026,飞亚达,其他商业
20,000027.SZ,000027,深圳能源,火力发电
21,000028.SZ,000028,国药一致,医药商业
22,000029.SZ,000029,深深房A,区域地产
23,000030.SZ,000030,富奥股份,汽车配件
24,000031.SZ,000031,大悦城,全国地产
25,000032.SZ,000032,深桑达A,元器件
26,000034.SZ,000034,神州数码,综合类
27,000035.SZ,000035,中国天楹,环境保护
28,000036.SZ,000036,华联控股,全国地产
29,000037.SZ,000037,深南电A,火力发电
30,000038.SZ,000038,深大通,广告包装
31,000039.SZ,000039,中集集团,轻工机械
32,000040.SZ,000040,东旭蓝天,新型电力
33,000042.SZ,000042,中洲控股,全国地产
34,000045.SZ,000045,深纺织A,元器件
35,000046.SZ,000046,泛海控股,保险
36,000048.SZ,000048,京基智农,饲料
37,000049.SZ,000049,德赛电池,电气设备
38,000050.SZ,000050,深天马A,元器件
39,000055.SZ,000055,方大集团,其他建材
40,000056.SZ,000056,皇庭国际,房产服务
41,000058.SZ,000058,深赛格,元器件
42,000059.SZ,000059,华锦股份,石油加工
43,000060.SZ,000060,中金岭南,铅锌
44,000061.SZ,000061,农产品,农业综合
45,000062.SZ,000062,深圳华强,批发业
46,000063.SZ,000063,中兴通讯,通信设备
47,000065.SZ,000065,北方国际,建筑工程
48,000066.SZ,000066,中国长城,IT设备
49,000068.SZ,000068,华控赛格,环境保护
50,000069.SZ,000069,华侨城A,旅游景点
51,000070.SZ,000070,特发信息,通信设备
52,000078.SZ,000078,海王生物,医药商业
53,000088.SZ,000088,盐田港,港口
54,000089.SZ,000089,深圳机场,机场
55,000090.SZ,000090,天健集团,建筑工程
56,000096.SZ,000096,广聚能源,石油贸易
57,000099.SZ,000099,中信海直,空运
58,000100.SZ,000100,TCL科技,元器件
59,000150.SZ,000150,宜华健康,医疗保健
60,000151.SZ,000151,中成股份,商贸代理
61,000153.SZ,000153,丰原药业,化学制药
62,000155.SZ,000155,川能动力,新型电力
63,000156.SZ,000156,华数传媒,影视音像
64,000157.SZ,000157,中联重科,工程机械
65,000158.SZ,000158,常山北明,软件服务
66,000159.SZ,000159,国际实业,石油贸易
67,000166.SZ,000166,申万宏源,证券
68,000301.SZ,000301,东方盛虹,化纤
69,000333.SZ,000333,美的集团,家用电器
70,000338.SZ,000338,潍柴动力,汽车配件
71,000400.SZ,000400,许继电气,电气设备
72,000401.SZ,000401,冀东水泥,水泥
73,000402.SZ,000402,金融街,全国地产
74,000403.SZ,000403,派林生物,生物制药
75,000404.SZ,000404,长虹华意,专用机械
76,000407.SZ,000407,胜利股份,供气供热
77,000408.SZ,000408,藏格控股,农药化肥
78,000409.SZ,000409,云鼎科技,综合类
79,000410.SZ,000410,*ST沈机,机床制造
80,000411.SZ,000411,英特集团,医药商业
81,000413.SZ,000413,东旭光电,元器件
82,000415.SZ,000415,渤海租赁,多元金融
83,000416.SZ,000416,民生控股,多元金融
84,000417.SZ,000417,合肥百货,百货
85,000419.SZ,000419,通程控股,百货
86,000420.SZ,000420,吉林化纤,化纤
87,000421.SZ,000421,南京公用,供气供热
88,000422.SZ,000422,湖北宜化,农药化肥
89,000423.SZ,000423,东阿阿胶,中成药
90,000425.SZ,000425,徐工机械,工程机械
91,000426.SZ,000426,兴业矿业,铅锌
92,000428.SZ,000428,华天酒店,酒店餐饮
93,000429.SZ,000429,粤高速A,路桥
94,000430.SZ,000430,张家界,旅游景点
95,000488.SZ,000488,晨鸣纸业,造纸
96,000498.SZ,000498,山东路桥,建筑工程
97,000501.SZ,000501,鄂武商A,百货
98,000502.SZ,000502,*ST绿景,综合类
99,000503.SZ,000503,国新健康,医疗保健
100,000504.SZ,000504,南华生物,生物制药
101,000505.SZ,000505,京粮控股,食品
102,000506.SZ,000506,中润资源,黄金
103,000507.SZ,000507,珠海港,港口
104,000509.SZ,000509,*ST华塑,医疗保健
105,000510.SZ,000510,新金路,化工原料
106,000513.SZ,000513,丽珠集团,化学制药
107,000514.SZ,000514,渝开发,区域地产
108,000516.SZ,000516,国际医学,医疗保健
109,000517.SZ,000517,荣安地产,区域地产
110,000518.SZ,000518,四环生物,生物制药
111,000519.SZ,000519,中兵红箭,矿物制品
112,000520.SZ,000520,长航凤凰,水运
113,000521.SZ,000521,长虹美菱,家用电器
114,000523.SZ,000523,*ST浪奇,日用化工
115,000524.SZ,000524,岭南控股,酒店餐饮
116,000525.SZ,000525,ST红太阳,农药化肥
117,000526.SZ,000526,学大教育,文教休闲
118,000528.SZ,000528,柳工,工程机械
119,000529.SZ,000529,广弘控股,食品
120,000530.SZ,000530,冰山冷热,机械基件
121,000531.SZ,000531,穗恒运A,火力发电
122,000532.SZ,000532,华金资本,多元金融
123,000533.SZ,000533,顺钠股份,电气设备
124,000534.SZ,000534,万泽股份,生物制药
125,000536.SZ,000536,华映科技,元器件
126,000537.SZ,000537,广宇发展,区域地产
127,000538.SZ,000538,云南白药,中成药
128,000539.SZ,000539,粤电力A,火力发电
129,000540.SZ,000540,中天金融,多元金融
130,000541.SZ,000541,佛山照明,家用电器
131,000543.SZ,000543,皖能电力,火力发电
132,000544.SZ,000544,中原环保,环境保护
133,000545.SZ,000545,金浦钛业,化工原料
134,000546.SZ,000546,金圆股份,水泥
135,000547.SZ,000547,航天发展,通信设备
136,000548.SZ,000548,湖南投资,路桥
137,000550.SZ,000550,江铃汽车,汽车整车
138,000551.SZ,000551,创元科技,专用机械
139,000552.SZ,000552,靖远煤电,煤炭开采
140,000553.SZ,000553,安道麦A,农药化肥
141,000554.SZ,000554,泰山石油,石油贸易
